"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label","correlation","pred_prob"
"943","ENSP00000339795","ENSP00000310572","9606.ENSP00000310572","9606.ENSP00000339795",909,"PSMC5","5705","RPL7","6129",0.275,0,0.194862314008101,0.111805413775954
"951","ENSP00000272317","ENSP00000329967","9606.ENSP00000329967","9606.ENSP00000272317",951,"TBK1","29110","RPS27A","6233",0.186,0,-0.51740321172032,0.231118717896356
"952","ENSP00000326806","ENSP00000463058","9606.ENSP00000463058","9606.ENSP00000326806",997,"RBM8A","9939","NCBP2","22916",0.705,1,0.314408541249517,0.734931638247715
"962","ENSP00000267935","ENSP00000370984","9606.ENSP00000370984","9606.ENSP00000267935",970,"COMMD8","54951","COMMD4","54939",1,1,-0.0615206259095198,0.451174116830562
"963","ENSP00000345393","ENSP00000327431","9606.ENSP00000327431","9606.ENSP00000345393",903,"HBG1","3047","MAFF","23764",0.086,0,0.105201975948445,0.0872721149284693
"966","ENSP00000302728","ENSP00000266031","9606.ENSP00000266031","9606.ENSP00000302728",933,"HYAL1","3373","GUSB","2990",1,1,0.281777346605261,0.233910883294255
"969","ENSP00000425561","ENSP00000456405","9606.ENSP00000456405","9606.ENSP00000425561",973,"MLST8","64223","EIF4E","1977",0.198,0,-0.148209461319002,0.459604001238104
"971","ENSP00000415430","ENSP00000361298","9606.ENSP00000361298","9606.ENSP00000415430",924,"KIF2C","11004","GTSE1","51512",0.687,1,0.904717790682534,0.26839662874024
"972","ENSP00000359098","ENSP00000309565","9606.ENSP00000309565","9606.ENSP00000359098",953,"UQCRH","7388","COX7A2","1347",0.711,1,0.6220481922923,0.440978868327513
"974","ENSP00000249071","ENSP00000367851","9606.ENSP00000367851","9606.ENSP00000249071",998,"CYBB","1536","RAC2","5880",0.288,0,0.805656710937022,0.808522828431215
"975","ENSP00000371532","ENSP00000477707","9606.ENSP00000477707","9606.ENSP00000371532",923,"NR1H3","10062","VLDLR","7436",0.26,0,-0.373036987481331,0.114827303622128
"977","ENSP00000317376","ENSP00000368793","9606.ENSP00000368793","9606.ENSP00000317376",906,"MTRF1","9617","MRPS11","64963",0.835,1,-0.147792735180201,0.0798572698196129
"979","ENSP00000335153","ENSP00000225577","9606.ENSP00000225577","9606.ENSP00000335153",976,"RPS6KB1","6198","HSP90AA1","3320",0.284,0,-0.00461385179944053,0.513315119896808
"980","ENSP00000364805","ENSP00000444029","9606.ENSP00000444029","9606.ENSP00000364805",914,"NUP153","9972","HSPA1L","3305",0.214,0,0.331203805353241,0.142486496029642
"992","ENSP00000482657","ENSP00000261479","9606.ENSP00000261479","9606.ENSP00000482657",902,"PSMA6","5687","MAP3K14","9020",0.166,0,0.0828816249867389,0.0832458303950019
"994","ENSP00000361658","ENSP00000285873","9606.ENSP00000285873","9606.ENSP00000361658",905,"GEMIN5","25929","NUP188","23511",0.064,0,0.394547168256229,0.11389373237384
"996","ENSP00000308179","ENSP00000225298","9606.ENSP00000225298","9606.ENSP00000308179",999,"UTP18","51096","WDR3","10885",1,1,0.167155443578034,0.725528049116632
"998","ENSP00000362924","ENSP00000363822","9606.ENSP00000363822","9606.ENSP00000362924",912,"AR","367","GSN","2934",0.275,0,-0.0814939949686455,0.100860843692182
"1001","ENSP00000425133","ENSP00000309572","9606.ENSP00000309572","9606.ENSP00000425133",944,"TERT","7015","SMG7","9887",0.221,0,0.0915433737406653,0.276619579833745
"1008","ENSP00000261254","ENSP00000262367","9606.ENSP00000262367","9606.ENSP00000261254",921,"CREBBP","1387","CCND2","894",0.229,0,0.0842097571194429,0.14796279787885
"1009","ENSP00000447001","ENSP00000309830","9606.ENSP00000309830","9606.ENSP00000447001",999,"RPL38","6169","RPL18","6141",0.809,1,0.822373653006385,0.815727590514623
"1012","ENSP00000312995","ENSP00000265056","9606.ENSP00000265056","9606.ENSP00000312995",947,"MCM2","4171","CLSPN","63967",0.214,0,0.805300592631741,0.426192842708688
"1018","ENSP00000462468","ENSP00000275493","9606.ENSP00000275493","9606.ENSP00000462468",976,"EGFR","1956","YES1","7525",0.381,0,0.422743302982223,0.596180556541084
"1019","ENSP00000299300","ENSP00000353048","9606.ENSP00000353048","9606.ENSP00000299300",975,"CCT8L2","150160","CCT2","10576",1,1,0.0410656236699468,0.513784020238093
"1031","ENSP00000355051","ENSP00000359531","9606.ENSP00000359531","9606.ENSP00000355051",965,"GTF2B","2959","TAF13","6884",0.734,1,0.165006796793598,0.453134340091042
"1032","ENSP00000384273","ENSP00000401802","9606.ENSP00000401802","9606.ENSP00000384273",912,"PSMC6","5706","RELA","5970",0.224,0,0.00487664550088137,0.10719411022249
"1033","ENSP00000407586","ENSP00000330382","9606.ENSP00000330382","9606.ENSP00000407586",955,"PDGFB","5155","HRAS","3265",0.618,1,-0.091842532480668,0.325011122714411
"1035","ENSP00000302886","ENSP00000262584","9606.ENSP00000262584","9606.ENSP00000302886",979,"RPL8","6132","PA2G4","5036",0.226,0,0.591726883523196,0.651301369152655
"1037","ENSP00000467141","ENSP00000443495","9606.ENSP00000443495","9606.ENSP00000467141",999,"ACTN2","88","TTN","7273",0.348,0,0.0446591066460663,0.705920795490279
"1042","ENSP00000327694","ENSP00000358582","9606.ENSP00000358582","9606.ENSP00000327694",980,"AP4B1","10717","AP2A2","161",0.649,1,-0.0598244248017508,0.536461470771879
"1046","ENSP00000261037","ENSP00000401749","9606.ENSP00000401749","9606.ENSP00000261037",913,"P4HA3","283208","COL8A1","1295",0.794,1,0.492322007015549,0.154195123796437
"1052","ENSP00000248248","ENSP00000394071","9606.ENSP00000394071","9606.ENSP00000248248",928,"GDI1","2664","MON1B","22879",0.055,0,-0.0306865805037713,0.167619028746299
"1055","ENSP00000357879","ENSP00000391211","9606.ENSP00000391211","9606.ENSP00000357879",999,"PSMC2","5701","PSMD4","5710",1,1,0.365534383652951,0.755499570335707
"1059","ENSP00000263253","ENSP00000262367","9606.ENSP00000262367","9606.ENSP00000263253",996,"CREBBP","1387","EP300","2033",0.689,1,0.67556316124967,0.780729974602564
"1067","ENSP00000264279","ENSP00000472469","9606.ENSP00000472469","9606.ENSP00000264279",983,"RPS28","6234","NOP58","51602",0.682,1,0.0440458098515444,0.581772501590561
"1073","ENSP00000262188","ENSP00000341805","9606.ENSP00000341805","9606.ENSP00000262188",956,"PHF10","55274","SMARCD3","6604",0.891,1,0.0408556202074562,0.356097660236392
"1074","ENSP00000333837","ENSP00000380466","9606.ENSP00000380466","9606.ENSP00000333837",944,"MRPL23","6150","MRPL12","6182",0.813,1,0.591322556571437,0.361698921238081
"1077","ENSP00000443194","ENSP00000368727","9606.ENSP00000368727","9606.ENSP00000443194",908,"XDH","7498","NAT1","9",0.279,0,0.439282575147276,0.128514482057518
"1084","ENSP00000358931","ENSP00000339933","9606.ENSP00000339933","9606.ENSP00000358931",910,"PKLR","5313","TKTL1","8277",0.21,0,-0.0695420411540938,0.0956578268189599
"1085","ENSP00000252603","ENSP00000321259","9606.ENSP00000321259","9606.ENSP00000252603",937,"TALDO1","6888","PGLS","25796",0.928,1,0.35758327237504,0.270828225302362
"1086","ENSP00000358414","ENSP00000349078","9606.ENSP00000349078","9606.ENSP00000358414",964,"FDPS","2224","HMGCS2","3158",0.913,1,0.153590788393043,0.442488652001458
"1089","ENSP00000288774","ENSP00000391601","9606.ENSP00000391601","9606.ENSP00000288774",996,"PEX5","5830","PEX10","5192",0.683,1,0.169829306911535,0.705150316755603
"1090","ENSP00000326531","ENSP00000420306","9606.ENSP00000420306","9606.ENSP00000326531",999,"THOC5","8563","THOC6","79228",0.622,1,0.328280447729908,0.75004376048194
"1091","ENSP00000358327","ENSP00000311032","9606.ENSP00000311032","9606.ENSP00000358327",929,"CASP3","836","CASP7","840",0.624,1,0.233806768674806,0.204177346670128
"1092","ENSP00000370542","ENSP00000255409","9606.ENSP00000255409","9606.ENSP00000370542",961,"CHI3L1","1116","SDC1","6382",0.121,0,0.0588284684339372,0.399427906243968
"1093","ENSP00000351273","ENSP00000357320","9606.ENSP00000357320","9606.ENSP00000351273",917,"DAP3","7818","CASP8","841",0.355,0,0.0497551229582122,0.128525168726971
"1099","ENSP00000372088","ENSP00000348056","9606.ENSP00000348056","9606.ENSP00000372088",985,"UBE2I","7329","RAD51","5888",0.239,0,0.54466345173724,0.688292264126571
"1100","ENSP00000356430","ENSP00000297313","9606.ENSP00000297313","9606.ENSP00000356430",909,"RGS20","8601","RGS18","64407",1,1,-0.0129491203404182,0.0965669795089752
"1101","ENSP00000255764","ENSP00000377686","9606.ENSP00000377686","9606.ENSP00000255764",992,"MED24","9862","MED10","84246",0.975,1,0.132338748442816,0.669552840109198
"1102","ENSP00000478070","ENSP00000392094","9606.ENSP00000392094","9606.ENSP00000478070",987,"EFTUD2","9343","CWC25","54883",1,1,0.149822918368526,0.634036534066933
"1104","ENSP00000282892","ENSP00000481920","9606.ENSP00000481920","9606.ENSP00000282892",999,"MED6","10001","MED21","9412",1,1,0.0417481753997753,0.70544502637076
"1105","ENSP00000377640","ENSP00000369965","9606.ENSP00000369965","9606.ENSP00000377640",982,"BTF3","689","RPL24","6152",0.048,0,0.636923365357174,0.68190508664082
"1106","ENSP00000252622","ENSP00000260210","9606.ENSP00000260210","9606.ENSP00000252622",970,"BUD13","84811","LSM7","51690",1,1,0.206333818096627,0.503714017068703
"1108","ENSP00000220003","ENSP00000263967","9606.ENSP00000263967","9606.ENSP00000220003",916,"PIK3CA","5290","CSK","1445",0.313,0,-0.197660105387146,0.105002951198461
"1111","ENSP00000307684","ENSP00000359295","9606.ENSP00000359295","9606.ENSP00000307684",969,"DR1","1810","TADA3","10474",0.85,1,-0.229473824966149,0.41043531037646
"1119","ENSP00000321239","ENSP00000363822","9606.ENSP00000363822","9606.ENSP00000321239",916,"AR","367","RCHY1","25898",0.224,0,0.307341387313438,0.148624761515773
"1120","ENSP00000263826","ENSP00000219476","9606.ENSP00000219476","9606.ENSP00000263826",983,"TSC2","7249","AKT3","10000",0.391,0,-0.0575262869487902,0.562206830277947
"1123","ENSP00000352584","ENSP00000250018","9606.ENSP00000250018","9606.ENSP00000352584",902,"TPH1","7166","AKR1B10","57016",0.166,0,-0.0352855151798911,0.0764187095900837
"1124","ENSP00000361021","ENSP00000386541","9606.ENSP00000386541","9606.ENSP00000361021",907,"PSMD14","10213","PTEN","5728",0.152,0,-0.217979090920315,0.0783160217109071
"1130","ENSP00000362768","ENSP00000221138","9606.ENSP00000221138","9606.ENSP00000362768",919,"PPP2CB","5516","RBL1","5933",0.333,0,0.0285835489771602,0.134402238873843
"1132","ENSP00000363322","ENSP00000421842","9606.ENSP00000421842","9606.ENSP00000363322",999,"ANAPC13","25847","CDC26","246184",1,1,0.240244986862238,0.73683202591467
"1133","ENSP00000481646","ENSP00000364119","9606.ENSP00000364119","9606.ENSP00000481646",967,"EIF2S2","8894","RPS10","6204",0.886,1,0.545454174099575,0.544758066722721
"1135","ENSP00000302177","ENSP00000371586","9606.ENSP00000371586","9606.ENSP00000302177",963,"PISD","23761","MBOAT2","129642",0.331,0,0.305558345422338,0.4636768104098
"1139","ENSP00000278572","ENSP00000311430","9606.ENSP00000311430","9606.ENSP00000278572",999,"RPL4","6124","RPS3","6188",0.278,0,0.805854548622144,0.813765535157745
"1150","ENSP00000428924","ENSP00000443256","9606.ENSP00000443256","9606.ENSP00000428924",901,"LPAR2","9170","LYN","4067",0.332,0,0.178965131498065,0.0864715076421461
"1154","ENSP00000258383","ENSP00000279242","9606.ENSP00000279242","9606.ENSP00000258383",997,"MRPL49","740","MRPL44","65080",1,1,0.223531021348992,0.720768124605112
"1155","ENSP00000238682","ENSP00000377027","9606.ENSP00000377027","9606.ENSP00000238682",908,"TGFBRAP1","9392","TGFB3","7043",0.317,0,0.221939121381628,0.110544336124333
"1156","ENSP00000324343","ENSP00000231420","9606.ENSP00000231420","9606.ENSP00000324343",930,"AGXT2","64902","UPB1","51733",0.296,0,0.585004191913887,0.259235134785465
"1160","ENSP00000258428","ENSP00000388107","9606.ENSP00000388107","9606.ENSP00000258428",916,"UBA52","7311","REV1","51455",0.358,0,-0.478211881407753,0.0859901812328588
"1164","ENSP00000262367","ENSP00000250003","9606.ENSP00000250003","9606.ENSP00000262367",994,"MYOD1","4654","CREBBP","1387",0.39,0,-0.0154617444166896,0.658809510055902
"1173","ENSP00000257818","ENSP00000256897","9606.ENSP00000256897","9606.ENSP00000257818",905,"CCNH","902","LMO2","4005",0.839,1,0.0616876276410461,0.0900102218967137
"1175","ENSP00000272348","ENSP00000266079","9606.ENSP00000266079","9606.ENSP00000272348",999,"PRPF6","24148","SNRPG","6637",0.82,1,0.516764955766527,0.776809745463654
"1180","ENSP00000360882","ENSP00000223061","9606.ENSP00000223061","9606.ENSP00000360882",981,"PCOLCE","5118","COL5A1","1289",0.26,0,0.248241330254394,0.604105965298081
"1190","ENSP00000369154","ENSP00000263640","9606.ENSP00000263640","9606.ENSP00000369154",982,"ACVR1","90","SMAD9","4093",0.62,1,0.359339092012968,0.632765589871141
"1192","ENSP00000346300","ENSP00000312185","9606.ENSP00000312185","9606.ENSP00000346300",922,"ELMO1","9844","CRKL","1399",0.386,0,0.13809519184779,0.157865663836213
"1199","ENSP00000361162","ENSP00000355929","9606.ENSP00000355929","9606.ENSP00000361162",909,"ANGEL2","90806","TOE1","114034",0.177,0,-0.191443983309303,0.0849878442335701
"1200","ENSP00000368459","ENSP00000264279","9606.ENSP00000264279","9606.ENSP00000368459",965,"NOP58","51602","NUFIP1","26747",0.381,0,0.273907482325303,0.474443118314873
"1201","ENSP00000229328","ENSP00000320886","9606.ENSP00000320886","9606.ENSP00000229328",919,"MLXIPL","51085","PRKAB1","5564",0.227,0,0.0262259320150457,0.134186543631294
"1208","ENSP00000420294","ENSP00000263360","9606.ENSP00000263360","9606.ENSP00000420294",940,"EED","8726","PHC3","80012",1,1,0.13345609439063,0.256433512870124
"1213","ENSP00000262160","ENSP00000428982","9606.ENSP00000428982","9606.ENSP00000262160",913,"CCNC","892","SMAD2","4087",0.317,0,-0.101829236127165,0.102511186591218
"1217","ENSP00000363999","ENSP00000323065","9606.ENSP00000323065","9606.ENSP00000363999",981,"GADD45GIP1","90480","MRPL50","54534",1,1,0.075599014416867,0.571198975745211
"1219","ENSP00000404658","ENSP00000356480","9606.ENSP00000356480","9606.ENSP00000404658",971,"RNF2","6045","EZH1","2145",0.7,1,0.0489895713597318,0.481285336167654
"1224","ENSP00000360266","ENSP00000295666","9606.ENSP00000295666","9606.ENSP00000360266",936,"IGFBP7","3490","JUN","3725",0.276,0,0.125847314765568,0.230257867653167
"1226","ENSP00000355747","ENSP00000294785","9606.ENSP00000294785","9606.ENSP00000355747",999,"NCSTN","23385","PSEN2","5664",0.728,1,0.256774419301244,0.739346555928206
"1227","ENSP00000327290","ENSP00000200181","9606.ENSP00000200181","9606.ENSP00000327290",926,"ITGB4","3691","ITGA11","22801",0.741,1,0.416143481873291,0.210966467876198
"1231","ENSP00000441543","ENSP00000338413","9606.ENSP00000338413","9606.ENSP00000441543",999,"UBA1","7317","UBC","7316",0.792,1,0.108814282822936,0.716291501777309
"1238","ENSP00000423399","ENSP00000323065","9606.ENSP00000323065","9606.ENSP00000423399",976,"GADD45GIP1","90480","MRPL36","64979",1,1,0.598177485087933,0.628930445578848
"1240","ENSP00000242067","ENSP00000317469","9606.ENSP00000317469","9606.ENSP00000242067",999,"BBS1","582","BBS9","27241",0.675,1,0.391330505726292,0.759229889854625
"1243","ENSP00000394394","ENSP00000426654","9606.ENSP00000426654","9606.ENSP00000394394",999,"ANAPC4","29945","ANAPC7","51434",0.835,1,0.47496673041699,0.771055082855431
"1244","ENSP00000283875","ENSP00000221859","9606.ENSP00000221859","9606.ENSP00000283875",991,"POLR2I","5438","GTF2E1","2960",0.863,1,-0.310753834978188,0.580154601220756
"1249","ENSP00000351015","ENSP00000310572","9606.ENSP00000310572","9606.ENSP00000351015",909,"PSMC5","5705","NF1","4763",0.137,0,-0.415480720843582,0.0722431856648531
"1251","ENSP00000368686","ENSP00000378402","9606.ENSP00000378402","9606.ENSP00000368686",978,"SIN3A","25942","E2F4","1874",0.283,0,0.007402145298164,0.532670525714325
"1261","ENSP00000323811","ENSP00000238651","9606.ENSP00000238651","9606.ENSP00000323811",927,"ACOT2","10965","HACL1","26061",0.694,1,0.421481095158719,0.217407368607711
"1263","ENSP00000378105","ENSP00000359380","9606.ENSP00000359380","9606.ENSP00000378105",965,"SCD","6319","ELOVL6","79071",0.661,1,0.455684464611854,0.510181122107526
"1264","ENSP00000381412","ENSP00000354896","9606.ENSP00000354896","9606.ENSP00000381412",923,"GRM1","2911","CAMK2A","815",0.299,0,-0.00376328583710208,0.147825501575183
"1267","ENSP00000268712","ENSP00000342235","9606.ENSP00000342235","9606.ENSP00000268712",984,"ERBB4","2066","NCOR1","9611",0.229,0,0.189948313106674,0.617497463483416
"1270","ENSP00000216277","ENSP00000216727","9606.ENSP00000216727","9606.ENSP00000216277",943,"PABPN1","8106","PAPOLA","10914",0.23,0,-0.126200888656587,0.237449705050088
"1273","ENSP00000281950","ENSP00000400591","9606.ENSP00000400591","9606.ENSP00000281950",987,"SNRPE","6635","GEMIN6","79833",0.884,1,0.573506611424036,0.707440389370755
"1274","ENSP00000314067","ENSP00000388325","9606.ENSP00000388325","9606.ENSP00000314067",902,"LAMB2","3913","PAK2","5062",0.28,0,-0.28764401233808,0.0635290514594939
"1280","ENSP00000341940","ENSP00000217381","9606.ENSP00000217381","9606.ENSP00000341940",969,"SNTA1","6640","CAV3","859",0.376,0,-0.0564430324009708,0.44373876742606
"1286","ENSP00000317468","ENSP00000267202","9606.ENSP00000267202","9606.ENSP00000317468",972,"VPS37B","79720","CHMP6","79643",0.604,1,-0.0406080932037146,0.472195858444136
"1294","ENSP00000361540","ENSP00000363524","9606.ENSP00000363524","9606.ENSP00000361540",970,"KIF4A","24137","CDC20","991",0.239,0,0.920791238251828,0.640397184139784
"1297","ENSP00000259873","ENSP00000295491","9606.ENSP00000295491","9606.ENSP00000259873",988,"MRPS18C","51023","MRPS18B","28973",1,1,0.40048414853671,0.68587344763257
"1317","ENSP00000313007","ENSP00000427695","9606.ENSP00000427695","9606.ENSP00000313007",972,"TOB1","10140","PABPC1","26986",0.716,1,-0.232759518730248,0.434738869957854
"1325","ENSP00000248572","ENSP00000355627","9606.ENSP00000355627","9606.ENSP00000248572",905,"AGT","183","GNGT1","2792",0.319,0,0.00256063985901601,0.0862710989712236
"1326","ENSP00000258772","ENSP00000221801","9606.ENSP00000221801","9606.ENSP00000258772",961,"FBL","2091","DDX56","54606",0.088,0,0.545439864733543,0.493770951955581
"1329","ENSP00000246914","ENSP00000379822","9606.ENSP00000379822","9606.ENSP00000246914",902,"SLC12A1","6557","WNK4","65266",0.351,0,-0.217980753454505,0.0668695885600791
"1334","ENSP00000255764","ENSP00000251871","9606.ENSP00000251871","9606.ENSP00000255764",996,"MED17","9440","MED10","84246",0.925,1,0.0904219786245482,0.691993750065202
"1339","ENSP00000300413","ENSP00000156471","9606.ENSP00000156471","9606.ENSP00000300413",993,"AQR","9716","SNRPD1","6632",1,1,-0.382069036664556,0.583079323917391
"1342","ENSP00000400467","ENSP00000346015","9606.ENSP00000346015","9606.ENSP00000400467",999,"RPL27A","6157","RPL9","6133",1,1,0.255701942778975,0.739183878866102
"1353","ENSP00000215071","ENSP00000157812","9606.ENSP00000157812","9606.ENSP00000215071",999,"PSMC4","5704","PSMD8","5714",1,1,0.707086271614919,0.801698110023303
"1357","ENSP00000242285","ENSP00000225567","9606.ENSP00000225567","9606.ENSP00000242285",902,"GOSR2","9570","CLTA","1211",0.357,0,0.0604124501977758,0.0819063326030652
"1360","ENSP00000343190","ENSP00000239231","9606.ENSP00000239231","9606.ENSP00000343190",965,"PANK3","79646","PPCDC","60490",1,1,-0.381959473433796,0.350135906625746
"1362","ENSP00000287490","ENSP00000425759","9606.ENSP00000425759","9606.ENSP00000287490",971,"COX7C","1350","COX6A2","1339",0.945,1,0.0590095181601253,0.483254118512482
"1364","ENSP00000267430","ENSP00000355185","9606.ENSP00000355185","9606.ENSP00000267430",904,"DCLRE1A","9937","FANCM","57697",0.624,1,0.380181103704164,0.109394003803371
"1369","ENSP00000384906","ENSP00000226574","9606.ENSP00000226574","9606.ENSP00000384906",912,"NFKB1","4790","SAA1","6288",0.306,0,0.039778360286204,0.10985114542262
"1375","ENSP00000290208","ENSP00000377486","9606.ENSP00000377486","9606.ENSP00000290208",983,"MRPL19","9801","MRPL10","124995",1,1,-0.202751625174152,0.533907927530287
"1376","ENSP00000260731","ENSP00000300738","9606.ENSP00000300738","9606.ENSP00000260731",941,"RRM1","6240","KIF11","3832",0.214,0,0.654410189385419,0.349653755097885
